,Date,Name of State / UT,Latitude,Longitude,Total Confirmed cases,Death,Cured/Discharged/Migrated,index,coronaenquirycalls,cumulativepeopleinquarantine,negative,numcallsstatehelpline,numicubeds,numisolationbeds,numventilators,populationncp2019projection,positive,source1,state,tagpeopleinquarantine,tagtotaltested,testpositivityrate,testspermillion,testsperpositivecase,testsperthousand,totaln95masks,totalpeoplecurrentlyinquarantine,totalpeoplereleasedfromquarantine,totalppe,totaltested,unconfirmed,Active Cases
79,2020-01-30,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Chhattisgarh,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
80,2020-01-31,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Chhattisgarh,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
81,2020-02-01,,,,,,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Chhattisgarh,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
82,2020-02-02,,,,,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Chhattisgarh,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
83,2020-02-03,,,,,,,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Chhattisgarh,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
84,2020-02-04,,,,,,,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Chhattisgarh,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
85,2020-02-05,,,,,,,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Chhattisgarh,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
86,2020-02-06,,,,,,,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Chhattisgarh,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
87,2020-02-07,,,,,,,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Chhattisgarh,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
88,2020-02-08,,,,,,,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Chhattisgarh,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
89,2020-02-09,,,,,,,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Chhattisgarh,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
90,2020-02-10,,,,,,,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Chhattisgarh,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
91,2020-02-11,,,,,,,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Chhattisgarh,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
92,2020-02-12,,,,,,,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Chhattisgarh,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
93,2020-02-13,,,,,,,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Chhattisgarh,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
94,2020-02-14,,,,,,,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Chhattisgarh,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
95,2020-02-15,,,,,,,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Chhattisgarh,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
96,2020-02-16,,,,,,,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Chhattisgarh,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
