,Date,Name of State / UT,Latitude,Longitude,Total Confirmed cases,Death,Cured/Discharged/Migrated,index,coronaenquirycalls,cumulativepeopleinquarantine,negative,numcallsstatehelpline,numicubeds,numisolationbeds,numventilators,populationncp2019projection,positive,source1,state,tagpeopleinquarantine,tagtotaltested,testpositivityrate,testspermillion,testsperpositivecase,testsperthousand,totaln95masks,totalpeoplecurrentlyinquarantine,totalpeoplereleasedfromquarantine,totalppe,totaltested,unconfirmed,Active Cases
94,2020-01-30,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Rajasthan,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
95,2020-01-31,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Rajasthan,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
96,2020-02-01,,,,,,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Rajasthan,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
97,2020-02-02,,,,,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Rajasthan,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
98,2020-02-03,,,,,,,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Rajasthan,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
99,2020-02-04,,,,,,,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Rajasthan,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
100,2020-02-05,,,,,,,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Rajasthan,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
101,2020-02-06,,,,,,,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Rajasthan,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
102,2020-02-07,,,,,,,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Rajasthan,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
103,2020-02-08,,,,,,,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Rajasthan,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
104,2020-02-09,,,,,,,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Rajasthan,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
105,2020-02-10,,,,,,,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Rajasthan,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
106,2020-02-11,,,,,,,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Rajasthan,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
107,2020-02-12,,,,,,,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Rajasthan,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
108,2020-02-13,,,,,,,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Rajasthan,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
109,2020-02-14,,,,,,,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Rajasthan,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
110,2020-02-15,,,,,,,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Rajasthan,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
111,2020-02-16,,,,,,,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Rajasthan,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
112,2020-02-17,,,,,,,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Rajasthan,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
113,2020-02-18,,,,,,,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Rajasthan,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
114,2020-02-19,,,,,,,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Rajasthan,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
