,Date,Name of State / UT,Latitude,Longitude,Total Confirmed cases,Death,Cured/Discharged/Migrated,index,coronaenquirycalls,cumulativepeopleinquarantine,negative,numcallsstatehelpline,numicubeds,numisolationbeds,numventilators,populationncp2019projection,positive,source1,state,tagpeopleinquarantine,tagtotaltested,testpositivityrate,testspermillion,testsperpositivecase,testsperthousand,totaln95masks,totalpeoplecurrentlyinquarantine,totalpeoplereleasedfromquarantine,totalppe,totaltested,unconfirmed,Active Cases
13,2020-01-30,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Sikkim,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
14,2020-01-31,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Sikkim,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
15,2020-02-01,,,,,,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Sikkim,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
16,2020-02-02,,,,,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Sikkim,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17,2020-02-03,,,,,,,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Sikkim,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18,2020-02-04,,,,,,,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Sikkim,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
19,2020-02-05,,,,,,,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Sikkim,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
20,2020-02-06,,,,,,,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Sikkim,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
21,2020-02-07,,,,,,,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Sikkim,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
22,2020-02-08,,,,,,,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Sikkim,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
23,2020-02-09,,,,,,,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Sikkim,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
24,2020-02-10,,,,,,,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Sikkim,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
25,2020-02-11,,,,,,,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Sikkim,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
26,2020-02-12,,,,,,,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Sikkim,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
27,2020-02-13,,,,,,,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Sikkim,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
28,2020-02-14,,,,,,,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Sikkim,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
29,2020-02-15,,,,,,,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Sikkim,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
30,2020-02-16,,,,,,,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Sikkim,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
