,Cured/Discharged/Migrated,Date,Death,Name of State / UT,Total Confirmed cases,coronaenquirycalls,cumulativepeopleinquarantine,negative,numcallsstatehelpline,numicubeds,numisolationbeds,numventilators,populationncp2019projection,positive,source1,state,tagpeopleinquarantine,tagtotaltested,testpositivityrate,testspermillion,testsperpositivecase,testsperthousand,totaln95masks,totalpeoplecurrentlyinquarantine,totalpeoplereleasedfromquarantine,totalppe,totaltested,unconfirmed
0,0,2020-03-26,0,Andaman and Nicobar Islands,1,,,,,,,,,,,,,,,,,,,,,,,
1,0,2020-03-27,0,Andaman and Nicobar Islands,1,,,,,,,,,,,,,,,,,,,,,,,
2,0,2020-03-28,0,Andaman and Nicobar Islands,6,,,,,,,,,,,,,,,,,,,,,,,
3,0,2020-03-29,0,Andaman and Nicobar Islands,9,,,,,,,,,,,,,,,,,,,,,,,
4,0,2020-03-30,0,Andaman and Nicobar Islands,9,,,,,,,,,,,,,,,,,,,,,,,
5,0,2020-03-31,0,Andaman and Nicobar Islands,10,,,,,,,,,,,,,,,,,,,,,,,
6,1,2020-04-01,0,Andaman and Nicobar Islands,10,,,,,,,,,,,,,,,,,,,,,,,
7,0,2020-04-02,0,Andaman and Nicobar Islands,10,,,,,,,,,,,,,,,,,,,,,,,
8,0,2020-04-03,0,Andaman and Nicobar Islands,10,,,,,,,,,,,,,,,,,,,,,,,
9,0,2020-04-04,0,Andaman and Nicobar Islands,10,,,,,,,,,,,,,,,,,,,,,,,
10,0,2020-04-05,0,Andaman and Nicobar Islands,10,,,,,,,,,,,,,,,,,,,,,,,
11,0,2020-04-06,0,Andaman and Nicobar Islands,10,,,,,,,,,,,,,,,,,,,,,,,
12,0,2020-04-07,0,Andaman and Nicobar Islands,10,,,,,,,,,,,,,,,,,,,,,,,
13,0,2020-04-08,0,Andaman and Nicobar Islands,10,,,,,,,,,,,,,,,,,,,,,,,
14,0,2020-04-09,0,Andaman and Nicobar Islands,11,,,,,,,,,,,,,,,,,,,,,,,
15,0,2020-04-10,0,Andaman and Nicobar Islands,11,,,,,,,,,,,,,,,,,,,,,,,
16,0,2020-04-11,0,Andaman and Nicobar Islands,11,,,,,,,,,,,,,,,,,,,,,,,
17,10,2020-04-12,0,Andaman and Nicobar Islands,11,,,,,,,,,,,,,,,,,,,,,,,
18,10,2020-04-13,0,Andaman and Nicobar Islands,11,,,,,,,,,,,,,,,,,,,,,,,
19,10,2020-04-14,0,Andaman and Nicobar Islands,11,,,,,,,,,,,,,,,,,,,,,,,
20,10,2020-04-15,0,Andaman and Nicobar Islands,11,,,,,,,,,,,,,,,,,,,,,,,
21,10,2020-04-16,0,Andaman and Nicobar Islands,11,,,,,,,,,,,,,,,,,,,,,,,
22,10,2020-04-17,0,Andaman and Nicobar Islands,11,,,,,,,,,,,,,,,,,,,,,,,
23,11,2020-04-18,0,Andaman and Nicobar Islands,12,,,,,,,,,,,,,,,,,,,,,,,
24,11,2020-04-19,0,Andaman and Nicobar Islands,14,,,,,,,,,,,,,,,,,,,,,,,
25,11,2020-04-20,0,Andaman and Nicobar Islands,15,,,,,,,,,,,,,,,,,,,,,,,
26,11,2020-04-21,0,Andaman and Nicobar Islands,16,,,,,,,,,,,,,,,,,,,,,,,
27,11,2020-04-22,0,Andaman and Nicobar Islands,16,,,,,,,,,,,,,,,,,,,,,,,
28,11,2020-04-23,0,Andaman and Nicobar Islands,18,,,,,,,,,,,,,,,,,,,,,,,
29,11,2020-04-24,0,Andaman and Nicobar Islands,22,,,,,,,,,,,,,,,,,,,,,,,
30,11,2020-04-25,0,Andaman and Nicobar Islands,27,,,,,,,,,,,,,,,,,,,,,,,
31,11,2020-04-26,0,Andaman and Nicobar Islands,33,,,,,,,,,,,,,,,,,,,,,,,
32,11,2020-04-27,0,Andaman and Nicobar Islands,33,,,,,,,,,,,,,,,,,,,,,,,
33,11,2020-04-28,0,Andaman and Nicobar Islands,33,,,,,,,,,,,,,,,,,,,,,,,
34,15,2020-04-29,0,Andaman and Nicobar Islands,33,,,,,,,,,,,,,,,,,,,,,,,
35,15,2020-04-30,0,Andaman and Nicobar Islands,33,,,,,,,,,,,,,,,,,,,,,,,
36,16,2020-05-01,0,Andaman and Nicobar Islands,33,,,,,,,,,,,,,,,,,,,,,,,
37,16,2020-05-02,0,Andaman and Nicobar Islands,33,,,,,,,,,,,,,,,,,,,,,,,
38,16,2020-05-03,0,Andaman and Nicobar Islands,33,,,,,,,,,,,,,,,,,,,,,,,
39,32,2020-05-04,0,Andaman and Nicobar Islands,33,,,,,,,,,,,,,,,,,,,,,,,
40,32,2020-05-05,0,Andaman and Nicobar Islands,33,,,,,,,,,,,,,,,,,,,,,,,
41,32,2020-05-06,0,Andaman and Nicobar Islands,33,,,,,,,,,,,,,,,,,,,,,,,
42,32,2020-05-07,0,Andaman and Nicobar Islands,33,,,,,,,,,,,,,,,,,,,,,,,
43,33,2020-05-08,0,Andaman and Nicobar Islands,33,,,,,,,,,,,,,,,,,,,,,,,
44,33,2020-05-09,0,Andaman and Nicobar Islands,33,,,,,,,,,,,,,,,,,,,,,,,
45,33,2020-05-10,0,Andaman and Nicobar Islands,33,,,,,,,,,,,,,,,,,,,,,,,
46,33,2020-05-11,0,Andaman and Nicobar Islands,33,,,,,,,,,,,,,,,,,,,,,,,
47,33,2020-05-12,0,Andaman and Nicobar Islands,33,,,,,,,,,,,,,,,,,,,,,,,
48,33,2020-05-13,0,Andaman and Nicobar Islands,33,,,,,,,,,,,,,,,,,,,,,,,
49,33,2020-05-14,0,Andaman and Nicobar Islands,33,,,,,,,,,,,,,,,,,,,,,,,
50,33,2020-05-15,0,Andaman and Nicobar Islands,33,,,,,,,,,,,,,,,,,,,,,,,
51,33,2020-05-16,0,Andaman and Nicobar Islands,33,,,,,,,,,,,,,,,,,,,,,,,
52,33,2020-05-17,0,Andaman and Nicobar Islands,33,,,,,,,,,,,,,,,,,,,,,,,
53,33,2020-05-18,0,Andaman and Nicobar Islands,33,,,,,,,,,,,,,,,,,,,,,,,
54,33,2020-05-19,0,Andaman and Nicobar Islands,33,,,,,,,,,,,,,,,,,,,,,,,
55,33,2020-05-20,0,Andaman and Nicobar Islands,33,,,,,,,,,,,,,,,,,,,,,,,
56,33,2020-05-21,0,Andaman and Nicobar Islands,33,,,,,,,,,,,,,,,,,,,,,,,
57,33,2020-05-22,0,Andaman and Nicobar Islands,33,,,,,,,,,,,,,,,,,,,,,,,
