Index,District,State,Zone,
1,SouthAndamans,Andaman and Nicobar Islands,RedZone,
2,Nicobars,Andaman and Nicobar Islands,GreenZone,
3,NorthAndMiddleAndaman,Andaman and Nicobar Islands,GreenZone,
4,Kurnool,Andhra Pradesh,RedZone,
5,Guntur,Andhra Pradesh,RedZone,
6,Krishna,Andhra Pradesh,RedZone,
7,Chittoor,Andhra Pradesh,RedZone,
8,SpsrNellore,Andhra Pradesh,RedZone,
9,WestGodavari,Andhra Pradesh,OrangeZone,
10,YSR,Andhra Pradesh,OrangeZone,
11,Anantapur,Andhra Pradesh,OrangeZone,
12,Prakasam,Andhra Pradesh,OrangeZone,
13,EastGodavari,Andhra Pradesh,OrangeZone,
14,Srikakulam,Andhra Pradesh,OrangeZone,
15,Visakhapatanam,Andhra Pradesh,OrangeZone,
16,Vizianagaram,Andhra Pradesh,GreenZone,
17,Lohit,Arunachal Pradesh,GreenZone,
18,Changlang,Arunachal Pradesh,GreenZone,
19,DibangValley,Arunachal Pradesh,GreenZone,
20,EastKameng,Arunachal Pradesh,GreenZone,
21,EastSiang,Arunachal Pradesh,GreenZone,
22,KurungKumey,Arunachal Pradesh,GreenZone,
23,LowerDibangValley,Arunachal Pradesh,GreenZone,
24,LowerSubansiri,Arunachal Pradesh,GreenZone,
25,PapumPare,Arunachal Pradesh,GreenZone,
26,Tawang,Arunachal Pradesh,GreenZone,
27,Tirap,Arunachal Pradesh,GreenZone,
28,UpperSiang,Arunachal Pradesh,GreenZone,
29,UpperSubansiri,Arunachal Pradesh,GreenZone,
30,WestKameng,Arunachal Pradesh,GreenZone,
31,WestSiang,Arunachal Pradesh,GreenZone,
32,Anjaw,Arunachal Pradesh,GreenZone,
33,Longding,Arunachal Pradesh,GreenZone,
34,KraDaadi,Arunachal Pradesh,GreenZone,
35,Namsai,Arunachal Pradesh,GreenZone,
36,Siang,Arunachal Pradesh,GreenZone,
37,Kamle,Arunachal Pradesh,GreenZone,
38,LowerSiang,Arunachal Pradesh,GreenZone,
39,PakkeKessang,Arunachal Pradesh,GreenZone,
40,Leparada,Arunachal Pradesh,GreenZone,
41,ShiYomi,Arunachal Pradesh,GreenZone,
42,Dhubri,Assam,OrangeZone,
43,Marigaon,Assam,OrangeZone,
44,Goalpara,Assam,OrangeZone,
45,Golaghat,Assam,GreenZone,
46,Karimganj,Assam,GreenZone,
47,Nalbari,Assam,GreenZone,
48,Hailakandi,Assam,GreenZone,
49,Cachar,Assam,GreenZone,
50,Kamrup,Assam,GreenZone,
51,Lakhimpur,Assam,GreenZone,
52,KamrupMetro,Assam,GreenZone,
53,SouthSalmaraMancachar,Assam,GreenZone,
54,Barpeta,Assam,GreenZone,
55,Bongaigaon,Assam,GreenZone,
56,Darrang,Assam,GreenZone,
57,Dhemaji,Assam,GreenZone,
58,Dibrugarh,Assam,GreenZone,
59,Jorhat,Assam,GreenZone,
60,KarbiAnglong,Assam,GreenZone,
61,Kokrajhar,Assam,GreenZone,
62,Nagaon,Assam,GreenZone,
63,DimaHasao,Assam,GreenZone,
64,Sivasagar,Assam,GreenZone,
65,Sonitpur,Assam,GreenZone,
66,Tinsukia,Assam,GreenZone,
67,Chirang,Assam,GreenZone,
68,Baksa,Assam,GreenZone,
69,Udalguri,Assam,GreenZone,
70,Biswanath,Assam,GreenZone,
71,Majuli,Assam,GreenZone,
72,Charaideo,Assam,GreenZone,
73,Hojai,Assam,GreenZone,
74,WestKarbiAnglong,Assam,GreenZone,
75,Munger,Bihar,RedZone,
76,Patna,Bihar,RedZone,
77,Rohtas,Bihar,RedZone,
78,Buxar,Bihar,RedZone,
79,Gaya,Bihar,RedZone,
80,Nalanda,Bihar,OrangeZone,
81,Kaimur(Bhabua),Bihar,OrangeZone,
82,Siwan,Bihar,OrangeZone,
83,Gopalganj,Bihar,OrangeZone,
84,Bhojpur,Bihar,OrangeZone,
85,Begusarai,Bihar,OrangeZone,
86,Aurangabad,Bihar,OrangeZone,
87,Madhubani,Bihar,OrangeZone,
88,PurbiChamparan,Bihar,OrangeZone,
89,Bhagalpur,Bihar,OrangeZone,
90,Arwal,Bihar,OrangeZone,
91,Saran,Bihar,OrangeZone,
92,Nawada,Bihar,OrangeZone,
93,Lakhisarai,Bihar,OrangeZone,
94,Banka,Bihar,OrangeZone,
95,Vaishali,Bihar,OrangeZone,
96,Darbhanga,Bihar,OrangeZone,
97,Jehanabad,Bihar,OrangeZone,
98,Madhepura,Bihar,OrangeZone,
99,Purnia,Bihar,OrangeZone,
100,Sheikhpura,Bihar,GreenZone,
101,Araria,Bihar,GreenZone,
102,Jamui,Bihar,GreenZone,
103,Katihar,Bihar,GreenZone,
104,Khagaria,Bihar,GreenZone,
105,Kishanganj,Bihar,GreenZone,
106,Muzaffarpur,Bihar,GreenZone,
107,PashchimChamparan,Bihar,GreenZone,
108,Saharsa,Bihar,GreenZone,
109,Samastipur,Bihar,GreenZone,
110,Sheohar,Bihar,GreenZone,
111,Sitamarhi,Bihar,GreenZone,
112,Supaul,Bihar,GreenZone,
113,Chandigarh,Chandigarh,RedZone,
114,Raipur,Chhattisgarh,RedZone,
115,Korba,Chhattisgarh,OrangeZone,
116,Surajpur,Chhattisgarh,GreenZone,
117,Bilaspur,Chhattisgarh,GreenZone,
118,Durg,Chhattisgarh,GreenZone,
119,Rajnandgaon,Chhattisgarh,GreenZone,
120,Bastar,Chhattisgarh,GreenZone,
121,Dantewada,Chhattisgarh,GreenZone,
122,Dhamtari,Chhattisgarh,GreenZone,
123,Janjgir,Champa,Chhattisgarh,GreenZone
124,Jashpur,Chhattisgarh,GreenZone,
125,Kanker,Chhattisgarh,GreenZone,
126,Kabirdham,Chhattisgarh,GreenZone,
127,Korea,Chhattisgarh,GreenZone,
128,Mahasamund,Chhattisgarh,GreenZone,
129,Raigarh,Chhattisgarh,GreenZone,
130,Surguja,Chhattisgarh,GreenZone,
131,Bijapur,Chhattisgarh,GreenZone,
132,Narayanpur,Chhattisgarh,GreenZone,
133,Sukma,Chhattisgarh,GreenZone,
134,Kondagaon,Chhattisgarh,GreenZone,
135,BalodaBazar,Chhattisgarh,GreenZone,
136,Gariyaband,Chhattisgarh,GreenZone,
137,Balod,Chhattisgarh,GreenZone,
138,Mungeli,Chhattisgarh,GreenZone,
139,Balrampur,Chhattisgarh,GreenZone,
140,Bemetara,Chhattisgarh,GreenZone,
141,DadraAndNagarHaveli,DadraAndNagarHaveli,GreenZone,
142,Daman,DamanAndDiu,GreenZone,
143,Diu,DamanAndDiu,GreenZone,
144,SouthEast,Delhi,RedZone,
145,Central,Delhi,RedZone,
146,North,Delhi,RedZone,
147,South,Delhi,RedZone,
148,NorthEast,Delhi,RedZone,
149,West,Delhi,RedZone,
150,Shahdara,Delhi,RedZone,
151,East,Delhi,RedZone,
152,NewDelhi,Delhi,RedZone,
153,NorthWest,Delhi,RedZone,
154,SouthWest,Delhi,RedZone,
155,NorthGoa,Goa,GreenZone,
156,SouthGoa,Goa,GreenZone,
157,Ahmadabad,Gujarat,RedZone,
158,Surat,Gujarat,RedZone,
159,Vadodara,Gujarat,RedZone,
160,Anand,Gujarat,RedZone,
161,BanasKantha,Gujarat,RedZone,
162,PanchMahals,Gujarat,RedZone,
163,Bhavnagar,Gujarat,RedZone,
164,Gandhinagar,Gujarat,RedZone,
165,ArvaIii,Gujarat,RedZone,
166,Rajkot,Gujarat,OrangeZone,
167,Bharuch,Gujarat,OrangeZone,
168,Botad,Gujarat,OrangeZone,
169,Narmada,Gujarat,OrangeZone,
170,Chhotaudepur,Gujarat,OrangeZone,
171,Mahisagar,Gujarat,OrangeZone,
172,Mahesana,Gujarat,OrangeZone,
173,Patan,Gujarat,OrangeZone,
174,Kheda,Gujarat,OrangeZone,
175,Valsad,Gujarat,OrangeZone,
176,Dohad,Gujarat,OrangeZone,
177,Kachchh,Gujarat,OrangeZone,
178,Navsari,Gujarat,OrangeZone,
179,GirSomnath,Gujarat,OrangeZone,
180,Dang,Gujarat,OrangeZone,
181,SabarKantha,Gujarat,OrangeZone,
182,Tapi,Gujarat,OrangeZone,
183,Jamnagar,Gujarat,OrangeZone,
184,Surendranagar,Gujarat,OrangeZone,
185,Morbi,Gujarat,GreenZone,
186,Amreli,Gujarat,GreenZone,
187,Porbandar,Gujarat,GreenZone,
188,Junagadh,Gujarat,GreenZone,
189,DevbhumiDwarka,Gujarat,GreenZone,
190,Sonipat,Haryana,RedZone,
191,Faridabad,Haryana,RedZone,
192,Gurugram,Haryana,OrangeZone,
193,Nuh,Haryana,OrangeZone,
194,Panipat,Haryana,OrangeZone,
195,Panchkula,Haryana,OrangeZone,
196,Palwal,Haryana,OrangeZone,
197,Rohtak,Haryana,OrangeZone,
198,Hisar,Haryana,OrangeZone,
199,Ambala,Haryana,OrangeZone,
200,Jhajjar,Haryana,OrangeZone,
201,Bhiwani,Haryana,OrangeZone,
202,Kaithal,Haryana,OrangeZone,
203,Kurukshetra,Haryana,OrangeZone,
204,KarnaI,Haryana,OrangeZone,
205,Jind,Haryana,OrangeZone,
206,Sirsa,Haryana,OrangeZone,
207,Yamunanagar,Haryana,OrangeZone,
208,Fatehabad,Haryana,OrangeZone,
